,source,Start time,nonprofit,non_org_type,role,person_org_years,org_size,org_years,continent,af_region,multi_country,regionality,org_opentext,collects_data,data_kinds,non_data_work,tech_person,merl_person,cloud_storage,data_use_policy,org_agreements,person_ai_comfort,ai_use,ai_want,ai_risk,ai_risk_reward,collab_feasibility,hubs_rural_urban,in_india,india_state,india_rural_urban,ai_opentext,org_label,ref,global_north_south,continent_int,role_int,global_north_south_int,org_size_int,hubs_rural_urban_int,af_region_int,india_rural_urban_int,collab_feasibility_raw,person_ai_comfort_raw,org_years_raw,person_org_years_raw,cluster3
0,The big one,2024-03-07 11:03:50,1,,Fundraiser,0.06666666666666667,31-60,0.56,North America,,0,1,Reproductive health and sexual health education,1,"['We collect data using devices, such as phones, tablets,  or computers, and people submit/update information electronically.', 'Our staff uses software to collect data about people, relationships, prospects, etc.', '']",,0,0,1,1,0,0.7,"['Generating\xa0content (text or images)', 'Asking a chatbot for advice, or allowing others to ask a chatbot questions about our own vast information collection', '']","['Organize our information: restructure, clean, or assign tags so it can be searched', 'Predicting outcomes, patterns, or other things from our data', '']","['Decisions based on biased AI models', 'AI-related data breaches', 'Plagiarism, violating copyrights, and/or losing intellectual property', '']",4,0.7,,,,,,"['Education', 'Health & Wellness']",gt,N,0,1,0,5,,,,7.0,7.0,84.0,4.0,1
1,The big one,2024-03-07 11:03:03,1,,Leader,0.11666666666666667,0-5,0.04666666666666667,North America,,0,1,Servant leadership for primary aged children and families. ,1,"['We collect data using devices, such as phones, tablets,  or computers, and people submit/update information electronically.', 'We also retained the original audio or video that accompanies the transcripts and tabular data.', '']",,0,0,1,0,0,0.5,"['I am not currently using AI', '']","['Generate content (text or images)', 'Organize our information: restructure, clean, or assign tags so it can be searched', 'Ask a chatbot for advice, or allow others to ask a chatbot questions about our own vast information collection', 'Interpret our information: score, classify, codify, or summarize our information', 'Translate or transcribe content', 'Assist in automating simple repetitive tasks', 'Predicting outcomes, patterns, or other things from our data', 'Other: something else', '']","['AI-related data breaches', 'Decisions based on biased AI models', 'Increasing inequity, if lower-capacity organizations are unable to adopt it, or if AI bias harms groups', 'Plagiarism, violating copyrights, and/or losing intellectual property', '(Over) Dependency on commercial AI products', '']",3,0.4,,,,,Overuse to the point of not thinking creatively for my organization. Plagiarism. ,['Youth & Family Services'],gt,N,0,0,0,0,,,,4.0,5.0,7.0,7.0,0
2,The big one,2024-03-07 11:05:30,1,,Leader,0.016666666666666666,6-15,0.22666666666666666,North America,,0,1,Environmental,1,"['Our staff manually fill out spreadsheets (or other tabular data) from notes and observations.', 'Our staff uses software to collect data about people, relationships, prospects, etc.', '']",,1,0,1,1,0,1.0,"['Generating\xa0content (text or images)', 'Asking a chatbot for advice, or allowing others to ask a chatbot questions about our own vast information collection', '']","['Translate or transcribe content', 'Assist in automating simple repetitive tasks', 'Interpret our information: score, classify, codify, or summarize our information', '']","['Plagiarism, violating copyrights, and/or losing intellectual property', '(Over) Dependency on commercial AI products', 'Environmental impact of using AI', '']",3,0.3,,,,,,"['Conservation', 'Environmental Sustainability']",gt,N,0,0,0,1,,,,3.0,10.0,34.0,1.0,-1
3,The big one,2024-03-07 11:05:30,1,,Comms,0.13333333333333333,6-15,0.16666666666666666,North America,,0,2,Medical research for pediatric cancer,1,"['Our staff manually fill out spreadsheets (or other tabular data) from notes and observations.', 'We collect data using devices, such as phones, tablets,  or computers, and people submit/update information electronically.', 'We have at least a hundred transcripts or records of interviews, testimonials, meetings, proceedings, surveys, or similar.', 'We also retained the original audio or video that accompanies the transcripts and tabular data.', 'Our staff uses software to collect data about people, relationships, prospects, etc.', '']",,1,1,1,1,1,1.0,"['Generating\xa0content (text or images)', 'Translating\xa0or transcribing content', 'Predicting outcomes, patterns, or other things from our data', '']","['Organize our information: restructure, clean, or assign tags so it can be searched', 'Interpret our information: score, classify, codify, or summarize our information', 'Assist in automating simple repetitive tasks', 'Predicting outcomes, patterns, or other things from our data', '']","['Plagiarism, violating copyrights, and/or losing intellectual property', 'Environmental impact of using AI', '']",3,0.8,,,,,AI can be a useful tool for repetitive tasks and to protect patient privacy (e.g. creating AI-generated images rather) ,"['Health & Wellness', 'Research']",gt,N,0,4,0,1,,,,8.0,10.0,25.0,8.0,1
4,The big one,2024-03-07 11:07:06,1,,Leader,0.13333333333333333,0-5,0.05333333333333334,North America,,0,2,Social justice through the arts ,1,"['We have at least a hundred transcripts or records of interviews, testimonials, meetings, proceedings, surveys, or similar.', '']",,0,0,1,0,0,0.0,"['I am not currently using AI', '']","['Generate content (text or images)', 'Ask a chatbot for advice, or allow others to ask a chatbot questions about our own vast information collection', 'Organize our information: restructure, clean, or assign tags so it can be searched', 'Interpret our information: score, classify, codify, or summarize our information', 'Translate or transcribe content', 'Assist in automating simple repetitive tasks', 'Predicting outcomes, patterns, or other things from our data', '']","['Decisions based on biased AI models', 'Plagiarism, violating copyrights, and/or losing intellectual property', '(Over) Dependency on commercial AI products', '']",2,0.4,,,,,,"['Arts & Culture', 'Human Rights & Justice']",gt,N,0,0,0,0,,,,4.0,0.0,8.0,8.0,0
5,The big one,2024-03-07 11:05:44,1,,Fundraiser,0.03333333333333333,16-30,0.5733333333333334,North America,,0,1,Arts & Culture (historic home museum),1,"['Our staff manually fill out spreadsheets (or other tabular data) from notes and observations.', 'Our staff uses software to collect data about people, relationships, prospects, etc.', '']",,0,0,1,1,0,0.4,"['Generating\xa0content (text or images)', 'Translating\xa0or transcribing content', '']","['Generate content (text or images)', 'Interpret our information: score, classify, codify, or summarize our information', 'Predicting outcomes, patterns, or other things from our data', '']","['Decisions based on biased AI models', 'AI-related data breaches', 'Plagiarism, violating copyrights, and/or losing intellectual property', '']",3,0.3,,,,,User error or problems,['Arts & Culture'],gt,N,0,1,0,2,,,,3.0,4.0,86.0,2.0,1
6,The big one,2024-03-07 11:06:34,1,,Fundraiser,0.13333333333333333,16-30,0.35333333333333333,North America,,0,1,environmental conservation land trust,1,"['Our staff manually fill out spreadsheets (or other tabular data) from notes and observations.', 'Our staff uses software to collect data about people, relationships, prospects, etc.', '']",,0,0,1,1,0,1.0,"['Generating\xa0content (text or images)', 'Interpreting\xa0our information: scoring, classifying, codifying, or summarizing our information', 'Assisting\xa0in automating simple repetitive tasks (for example, using virtual office assistants)', '']","['Generate content (text or images)', 'Organize our information: restructure, clean, or assign tags so it can be searched', 'Interpret our information: score, classify, codify, or summarize our information', 'Assist in automating simple repetitive tasks', 'Predicting outcomes, patterns, or other things from our data', '']",,5,0.8,,,,,"AI has been a gift for me.  It's especially helpful in writing marketing content and improving my writing.  For nonprofits, where we are faced with limited bandwidth, AI can help us reduce the amount of time that we spend on clerical and repetitive tasks allowing us to do more to further our mission.","['Conservation', 'Environmental Sustainability']",gt,N,0,1,0,2,,,,8.0,10.0,53.0,8.0,1
7,The big one,2024-03-07 11:08:11,1,,Leader,0.1,0-5,0.29333333333333333,North America,,0,1,"Events, classes, support groups and resources for LGBT families and prospective parents. ",1,"['Our staff uses software to collect data about people, relationships, prospects, etc.', '']",,0,0,1,1,0,0.1,"['I am not currently using AI', '']","[""We don't know yet!"", '']","['Decisions based on biased AI models', 'AI-related data breaches', 'Increasing inequity, if lower-capacity organizations are unable to adopt it, or if AI bias harms groups', 'Plagiarism, violating copyrights, and/or losing intellectual property', '(Over) Dependency on commercial AI products', 'Environmental impact of using AI', '']",1,0.1,,,,,,"['Social Services', 'Youth & Family Services']",gt,N,0,0,0,0,,,,1.0,1.0,44.0,6.0,0
8,The big one,2024-03-07 11:07:43,1,,Comms,0.016666666666666666,6-15,0.26,North America,,0,1,Performing arts education for all. No experience necessary. ,1,"['Our staff manually fill out spreadsheets (or other tabular data) from notes and observations.', '']",,0,0,1,1,0,1.0,"['Generating\xa0content (text or images)', 'Asking a chatbot for advice, or allowing others to ask a chatbot questions about our own vast information collection', '']","['Generate content (text or images)', 'Ask a chatbot for advice, or allow others to ask a chatbot questions about our own vast information collection', 'Organize our information: restructure, clean, or assign tags so it can be searched', 'Interpret our information: score, classify, codify, or summarize our information', 'Translate or transcribe content', 'Assist in automating simple repetitive tasks', 'Predicting outcomes, patterns, or other things from our data', '']","['Increasing inequity, if lower-capacity organizations are unable to adopt it, or if AI bias harms groups', 'Plagiarism, violating copyrights, and/or losing intellectual property', '']",2,0.7,,,,,"I think AI in the non profit sector is a boon. The world is moving too fast and most places, like ours, don't have enough time or dedicated staff in order to complete a fast paced and moving fund development plan. I think AI would change things and be able to research, collect data, and compile everything would make our lives so much easier so we can do what we do best as a team. ","['Arts & Culture', 'Education']",gt,N,0,4,0,1,,,,7.0,10.0,39.0,1.0,1
9,The big one,2024-03-07 11:06:56,1,,Leader,0.3333333333333333,121+,0.36,North America,,0,1,Financial and productive support group for education program.,0,,"Fundraising, Prop Building, Instrument Maintenance, Student supplies",0,0,0,0,0,0.9,"['Generating\xa0content (text or images)', 'Translating\xa0or transcribing content', '']","['Generate content (text or images)', 'Organize our information: restructure, clean, or assign tags so it can be searched', 'Interpret our information: score, classify, codify, or summarize our information', 'Assist in automating simple repetitive tasks', ""We don't know yet!"", '']","['Decisions based on biased AI models', 'AI-related data breaches', 'Replacing workers with AI', 'Increasing inequity, if lower-capacity organizations are unable to adopt it, or if AI bias harms groups', 'Plagiarism, violating copyrights, and/or losing intellectual property', '']",1,0.3,,,,,,"['Education', 'Social Services', 'Economic Empowerment']",gt,N,0,0,0,3,,,,3.0,9.0,54.0,20.0,1
